Internal,Janome,Madeira Rayon,Robison-Anton Rayon,Sulky Rayon,Brother Embroidery,Robison-Anton Polyester,Isacord Polyester
0,,,,,,,
1,2,1000,,1005,900,5596,20
2,1,1001,,1001,1,,15
3,239,1024,,1024,,,
4,205,1278,,,,,
5,264,1393,,,,,
6,226,1170,,1051,515,,5513
7,232,,,1289,,,
8,250,1032,,1032,612,,2830
9,201,,,,,,
10,202,1037,,1037,,,
11,236,1126,,,,,
12,252,1242,,1042,,,
13,3,1025,,,,,
14,2,1043,,1005,,,
15,209,1330,,,,5586,
16,253,1084,,1127,843,,761
17,211,,,,,,
18,233,1020,,1259,,,
19,268,1105,,,,,
20,215,1181,,,,,
21,209,1232,,1193,804,,3652
22,217,,2321,,,,
23,220,1001,,,,,
24,221,1360,,,,,
25,227,,,,,,
26,207,1028,,1143,,,
27,229,,,,,,
28,263,1375,,1201,,,
29,244,,2529,,,,
30,232,,,,,,
31,202,1315,,,,,
32,203,1165,,,,5769,
33,202,1037,,,,,
34,237,1272,,,,,
35,210,1105,,,,,
36,238,,,,,,
37,239,1068,,,,,
38,211,1232,,,,,
39,208,1188,,1192,,5800,2504
40,223,1383,,,,,
41,241,1334,,1255,614,,2910
42,225,1147,,,,,
43,226,1086,,,,,
44,246,1106,,,,,
45,246,1194,,1156,330,,6133
46,226,1370,,1174,808,,5944
47,249,,,,,,
48,272,,,,,,
49,251,1185,,,,,
50,260,1396,,,,,
51,253,,,,,,
52,235,1221,,1181,337,,1312
53,238,1255,,1055,348,,832
54,214,1136,,,,,
55,258,1192,,,,,
56,261,1385,,,,,
57,269,,,,,,
58,230,1000,,,,,
59,231,1360,,2125,,,
60,228,1134,,1042,,5684,3900
61,218,1029,,1134,,,
62,248,1049,,1279,,,
63,267,1354,,1511,86,,2520
64,265,1309,,,,,
65,256,1181,,,,,
66,270,1156,2572,1179,,5802,
67,206,1249,,,,5508,
68,222,1270,,,,,
69,255,1065,,1227,328,,546
70,213,1025,,,,,
71,273,,,,,,
72,274,1155,,1238,126,,811
73,275,1248,,,,,
74,254,1146,,,,5536,
75,243,1250,,,,,
76,271,1335,,,,,
77,240,1138,,,,,
78,224,1055,,,,,
79,,,,,,,
